"Credit Serial Numbers","Date Issued (GMT)","Vintage","Vintage Assignment Period Start Date","Vintage Assignment Period End Date","Quantity of Credits","Account Holder","Status Effective (GMT)","Retired on Behalf of","Retirement Reason","Purpose of Retirement","Project ID","Project Name","Project Type","Project Methodology/Protocol","Methodology/Protocol Version","Project Site Location","Project Site State","Project Site Country","ARB Eligible","Ecology Eligible","CORSIA Eligible","Eligible for CORSIA 2021-2023 Compliance Period (Pilot Phase)","Eligible for CORSIA 2024-2026 Compliance Period (First Phase)","CCP Approved","Verified Removal","Sustainable Development Goal(s)","Project Website","Documents",
"ACR-US-586-2022-2078-28633 to 28662","9/20/2023 1:39:05 PM","2022","1/1/2022","12/31/2022","30","Patch Technologies, Inc.","10/4/2024 10:13:11 PM","Floras Inc","On Behalf of Third Party","To mitigate GHG emissions","ACR586","18 Reserves Forest Carbon Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Near Cleveland","OHIO","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-936-2023-2311-4710 to 9209","4/5/2024 10:51:59 PM","2023","12/4/2023","12/27/2023","4500","Cool Effect","10/4/2024 7:30:21 PM","Retired by Cool Effect on Behalf of ImpactAssets via The Unity Charitable Fund","On Behalf of Third Party","Retired by Cool Effect on Behalf of ImpactAssets via The Unity Charitable Fund","ACR936","Tradewater US - ODS - #4","Ozone Depleting Substances","Destruction of Ozone Depleting Substances (ODS) and High-Global Warming Potential (GWP) Foam","Version 2.0","Bowling Green","OHIO","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action;14: Life Below Water;15: Life on Land","","View",
"ACR-US-783-2022-2272-702 to 5047","3/6/2024 3:49:21 AM","2022","6/8/2022","12/31/2022","4346","Patch Technologies, Inc.","10/4/2024 3:22:26 PM","Vista Equity Partners Management","On Behalf of Third Party","To mitigate GHG emissions","ACR783","NativState – S&J Taylor Forest Carbon Improved Forest Management Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 2.0","Sheridan, AR","ARKANSAS","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.nativstate.com/project-acr-783/","View",
"ACR-US-783-2022-2272-77246 to 94627","3/6/2024 3:49:21 AM","2022","6/8/2022","12/31/2022","17382","Patch Technologies, Inc.","10/4/2024 3:21:12 PM","Vista Equity Partners Management","On Behalf of Third Party","To mitigate GHG emissions","ACR783","NativState – S&J Taylor Forest Carbon Improved Forest Management Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 2.0","Sheridan, AR","ARKANSAS","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","www.nativstate.com/project-acr-783/","View",
"ACR-US-869-2022-2145-24247 to 26833","11/21/2023 3:13:40 PM","2022","1/7/2022","12/31/2022","2587","Sterling Planet, Inc.","10/3/2024 12:16:03 PM","Hampshire College","On Behalf of Third Party","Fiscal Year 2023 Scope 1 & 3 campus emissions offsets","ACR869","A-Gas V12","Industrial Process Emissions","Certified Reclaimed HFC Refrigerants, Propellants, and Fire Suppressants","Version 2.0","Rhome","TEXAS","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-586-2022-2078-27559 to 27678","9/20/2023 1:39:05 PM","2022","1/1/2022","12/31/2022","120","Patch Technologies, Inc.","10/2/2024 5:27:20 PM","KnowBe4","On Behalf of Third Party","To mitigate GHG emissions","ACR586","18 Reserves Forest Carbon Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Near Cleveland","OHIO","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-586-2022-2078-27679 to 28632","9/20/2023 1:39:05 PM","2022","1/1/2022","12/31/2022","954","Patch Technologies, Inc.","10/2/2024 5:26:07 PM","AvAir","On Behalf of Third Party","To mitigate GHG emissions","ACR586","18 Reserves Forest Carbon Project","Forest Carbon","Improved Forest Management (IFM) on Non-Federal U.S. Forestlands","Version 1.3","Near Cleveland","OHIO","US","No","No","No","","","","","03: Good Health and Well-Being;06: Clean Water and Sanitation;09: Industry, Innovation and Infrastructure;13: Climate Action;15: Life on Land","","View",
"ACR-US-915-2024-2523-209403 to 209418","9/27/2024 6:42:16 PM","2024","1/22/2024","1/22/2024","16","Patch Technologies, Inc.","10/1/2024 6:29:18 PM","Carbon Neutral Club","On Behalf of Third Party","To mitigate GHG emissions","ACR915","Tradewater OOG 2","Industrial Process Emissions","Plugging Orphan Oil and Gas Wells in the U.S. and Canada","1.0","Greene County","INDIANA","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-915-2024-2523-208372 to 208381","9/27/2024 6:42:16 PM","2024","1/22/2024","1/22/2024","10","Patch Technologies, Inc.","10/1/2024 6:25:26 PM","Thrust Carbon","On Behalf of Third Party","To mitigate GHG emissions","ACR915","Tradewater OOG 2","Industrial Process Emissions","Plugging Orphan Oil and Gas Wells in the U.S. and Canada","1.0","Greene County","INDIANA","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
"ACR-US-915-2024-2523-208528 to 209402","9/27/2024 6:42:16 PM","2024","1/22/2024","1/22/2024","875","Patch Technologies, Inc.","10/1/2024 6:24:01 PM","Pomona College","On Behalf of Third Party","To mitigate GHG emissions","ACR915","Tradewater OOG 2","Industrial Process Emissions","Plugging Orphan Oil and Gas Wells in the U.S. and Canada","1.0","Greene County","INDIANA","US","No","No","No","","","","","03: Good Health and Well-Being;09: Industry, Innovation and Infrastructure;12: Responsible Consumption and Production;13: Climate Action","","View",
