Registry,ID,Name,Type,Location,SDGs,Project Start Date,Credits Issued,Credits Retired,Project Website
CAR,CAR1317,CE&S Dairy,Livestock - ARB Compliance,US,[],9/26/2024,31359,0,http://calbioenergy.com/
CAR,CAR639,"El Dorado Nitrogen, LP - Nitrous Oxide Abatement Project",Nitric Acid N2O- Secondary Catalyst,US,[],9/20/2024,85148,0,
CAR,CAR1316,Lakeview Farms Dairy,Livestock - ARB Compliance,US,[],8/30/2024,26033,0,http://calbioenergy.com/
CAR,CAR1409,Martell,Improved Forest Management - ARB Compliance,US,[],7/26/2024,268062,0,
CAR,CAR1480,Phlogiston Phase I,Adipic Acid,US,[],8/8/2024,1253154,0,
CAR,CAR443,South Kent Landfill Gas to Energy Project,Landfill Gas Capture/Combustion,US,[],9/20/2024,25500,0,
CAR,CAR1315,West Star North Dairy,Livestock - ARB Compliance,US,[],9/5/2024,33512,0,http://calbioenergy.com/
CAR,CAR1298,Adirondack Farms,Livestock - ARB Compliance,US,[],12/13/2023,4526,0,
CAR,CAR1105,American Soda LLC Waste Mine Methane Project,Mine Methane Capture - ARB Compliance,US,[],7/30/2024,329027,0,
CAR,CAR888,Angelina County Landfill,Landfill Gas Capture/Combustion,US,[],11/27/2023,17880,0,
CAR,CAR1324,AR-Joy Farm Dairy Digester,Livestock - ARB Compliance,US,[],3/12/2024,3209,0,
CAR,CAR1110,Backbone,Improved Forest Management - ARB Compliance,US,[],1/19/2024,59454,0,
CAR,CAR683,Blue Source - Francis Beidler Improved Forest Management Project,Improved Forest Management,US,[],9/12/2024,9951,0,
CAR,CAR1587,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Concepción del Monte,Forestry - MX,MX,[],8/4/2023,65,0,
CAR,CAR1588,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Las Rosas,Forestry - MX,MX,[],8/4/2023,110,0,
CAR,CAR1589,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Los Lobos,Forestry - MX,MX,[],8/4/2023,61,0,
CAR,CAR1590,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido Rosa de Palo Amarillo,Forestry - MX,MX,[],8/4/2023,77,0,
CAR,CAR1591,Bonos de Carbono-San José del Rincón-Mariposa Monarca-Ejido San Felipe de Jesús,Forestry - MX,MX,[],8/4/2023,32,0,
CAR,CAR1865,BONOS LAGUNA SÍJIL NOH-HÁ,Forestry - MX,MX,[],8/27/2024,54916,0,
CAR,CAR1863,BONOS X-HAZIL DE LA RUTA SIAN KA´AN,Forestry - MX,MX,[],9/17/2024,56441,0,
CAR,CAR531,Buncombe County Landfill,Landfill Gas Capture/Combustion,US,[],2/28/2024,2694,0,http://www.buncombecounty.org
CAR,CAR515,Canadian Valley Landfill,Landfill Gas Capture/Combustion,US,[],6/28/2024,21336,0,
CAR,CAR1804,"Captura de Carbono en los Bosques de Coníferas y Latifoliadas  del Ejido La Victoria y Anexos, Municipio de Pueblo Nuevo, Estado de Durango, México",Forestry - MX,MX,[],9/26/2024,59316,0,
CAR,CAR1859,Carbono Forestal La Catedral,Forestry - MX,MX,[],8/22/2024,142911,0,
CAR,CAR1744,Carbono Forestal La Norteñita,Forestry - MX,MX,[],12/5/2023,31317,0,http://www.grupolanortenita.com/
CAR,CAR1569,"Carbono, Agua y Biodiversidad Indígena Abejones",Forestry - MX,MX,[],8/30/2023,560,0,http://www.icico.mx
CAR,CAR1415,"Carbono, Agua y Biodiversidad Indígena Capulálpam",Forestry - MX,MX,[],8/31/2023,195,0,http://www.icico.mx
CAR,CAR1532,"Carbono, Agua y Biodiversidad Indígena Comaltepec",Forestry - MX,MX,[],8/31/2023,960,0,http://www.icico.mx
CAR,CAR1461,"Carbono, Agua y Biodiversidad Indígena Ixtlán",Forestry - MX,MX,[],8/30/2023,1245,0,http://www.icico.mx
CAR,CAR1531,"Carbono, Agua y Biodiversidad Indígena Jaltianguis",Forestry - MX,MX,[],8/30/2023,124,0,http://www.icico.mx
CAR,CAR1399,"Carbono, Agua y Biodiversidad Indígena La Trinidad",Forestry - MX,MX,[],8/31/2023,150,0,http://www.icico.mx
CAR,CAR1443,"Carbono, Agua y Biodiversidad Indígena Maninaltepec",Forestry - MX,MX,[],8/31/2023,302,0,http://www.icico.mx
CAR,CAR1462,"Carbono, Agua y Biodiversidad Indígena Metaltepec",Forestry - MX,MX,[],8/31/2023,175,0,http://www.icico.mx
CAR,CAR1463,"Carbono, Agua y Biodiversidad Indígena Peñoles",Forestry - MX,MX,[],8/30/2023,1037,0,http://www.icico.mx
CAR,CAR1464,"Carbono, Agua y Biodiversidad Indígena San Bartolomé",Forestry - MX,MX,[],8/30/2023,1215,0,http://www.icico.mx
CAR,CAR1411,"Carbono, Agua y Biodiversidad Indígena Xiacuí",Forestry - MX,MX,[],8/31/2023,244,0,http://www.icico.mx
CAR,CAR866,Cedar Grove - Maple Valley OWC Composting Project,Organic Waste Composting,US,[],8/20/2024,43433,0,
CAR,CAR825,Cedar Grove Composting,Organic Waste Composting,US,[],7/30/2024,15266,0,http://www.cedar-grove.com/
CAR,CAR1264,Chugach Alaska Forest Carbon Project,Improved Forest Management - ARB Compliance,US,[],11/1/2023,95309,0,
CAR,CAR887,City of Thomasville MSW Landfill,Landfill Gas Capture/Combustion,US,[],6/20/2024,16160,0,
CAR,CAR1860,ClimeCo ODS Destruction 36,Ozone Depleting Substances - U.S. - ARB Compliance,US,[],6/17/2024,45265,0,http://www.climeco.com
CAR,CAR1335,Coffeyville NAP2,Nitric Acid N2O- Tertiary Catalyst,US,[],12/6/2023,102166,0,
CAR,CAR1382,Cohasset 2019,Improved Forest Management - ARB Compliance,US,[],1/9/2024,34642,0,
CAR,CAR1496,Comunidad Rio y Papudos,Forestry - MX,MX,[],8/30/2024,5114,0,
