Registry,ID,Name,Type,Location,SDGs,Project Start Date,Credits Issued,Credits Retired,Project Website
CAR,CAR1298,Adirondack Farms,Livestock - ARB Compliance,US,[],3/25/2024,0,3999,
CAR,CAR888,Angelina County Landfill,Landfill Gas Capture/Combustion,US,[],12/22/2023,0,17880,
CAR,CAR1744,Carbono Forestal La Norteñita,Forestry - MX,MX,[],12/29/2023,0,21703,
CAR,CAR1569,"Carbono, Agua y Biodiversidad Indígena Abejones",Forestry - MX,MX,[],1/4/2024,0,300,
CAR,CAR1415,"Carbono, Agua y Biodiversidad Indígena Capulálpam",Forestry - MX,MX,[],9/29/2023,0,7,
CAR,CAR1532,"Carbono, Agua y Biodiversidad Indígena Comaltepec",Forestry - MX,MX,[],11/20/2023,0,29,
CAR,CAR1461,"Carbono, Agua y Biodiversidad Indígena Ixtlán",Forestry - MX,MX,[],1/16/2024,0,317,
CAR,CAR1531,"Carbono, Agua y Biodiversidad Indígena Jaltianguis",Forestry - MX,MX,[],12/1/2023,0,115,
CAR,CAR1399,"Carbono, Agua y Biodiversidad Indígena La Trinidad",Forestry - MX,MX,[],9/27/2023,0,139,
CAR,CAR1443,"Carbono, Agua y Biodiversidad Indígena Maninaltepec",Forestry - MX,MX,[],1/4/2024,0,150,
CAR,CAR1462,"Carbono, Agua y Biodiversidad Indígena Metaltepec",Forestry - MX,MX,[],9/8/2023,0,162,
CAR,CAR1463,"Carbono, Agua y Biodiversidad Indígena Peñoles",Forestry - MX,MX,[],9/29/2023,0,957,
CAR,CAR1464,"Carbono, Agua y Biodiversidad Indígena San Bartolomé",Forestry - MX,MX,[],10/9/2023,0,1115,
CAR,CAR1411,"Carbono, Agua y Biodiversidad Indígena Xiacuí",Forestry - MX,MX,[],1/4/2024,0,100,
CAR,CAR1335,Coffeyville NAP2,Nitric Acid N2O- Tertiary Catalyst,US,[],3/11/2024,0,102166,
CAR,CAR639,"El Dorado Nitrogen, LP - Nitrous Oxide Abatement Project",Nitric Acid N2O- Secondary Catalyst,US,[],12/11/2023,0,232509,
CAR,CAR635,Hancock County Landfill Gas Collection Project,Landfill Gas Capture/Combustion,US,[],1/31/2024,0,58234,
CAR,CAR422,Hernando County Landfill Electric Generation,Landfill Gas Capture/Combustion,US,[],5/24/2024,0,38486,
CAR,CAR522,Kentucky Blue Ridge Landfill,Landfill Gas Capture/Combustion,US,[],9/16/2024,0,30864,
CAR,CAR1096,Lenz Composting,Organic Waste Composting,US,[],9/13/2024,0,6000,
CAR,CAR1624,Nitric Acid,Nitric Acid N2O- Secondary Catalyst,US,[],8/15/2024,0,32104,
CAR,CAR674,"Oneida Herkimer Landfill Ava, NY",Landfill Gas Capture/Combustion,US,[],4/8/2024,0,111650,
CAR,CAR1480,Phlogiston Phase I,Adipic Acid,US,[],6/3/2024,0,72,
CAR,CAR1737,ProCarbono: Ejido El Rincón,Forestry - MX,MX,[],5/15/2024,0,2430,
CAR,CAR1735,ProCarbono: Ejido Las Hacienditas y Anexos,Forestry - MX,MX,[],5/15/2024,0,4936,
CAR,CAR1675,ProCarbono: Ejido Quebrada de Cebollas,Forestry - MX,MX,[],5/15/2024,0,3410,
CAR,CAR1736,ProCarbono: Ejido Silvestre Revueltas,Forestry - MX,MX,[],5/15/2024,0,2187,
CAR,CAR1704,ProCarbono: Ejios Los Altares,Forestry - MX,MX,[],5/15/2024,0,7249,
CAR,CAR1829,Proyecto Forestal de Captura de Carbono Comunidad San Jerónimo Coatlán,Forestry - MX,MX,[],10/4/2024,0,5956,
CAR,CAR1506,Proyecto forestal de carbono del Ejido Lázaro Cárdenas Número 2,Forestry - MX,MX,[],8/7/2024,0,405,
CAR,CAR1505,Proyecto forestal de carbono del Ejido Pioneros de Río Xhon - Ha,Forestry - MX,MX,[],8/7/2024,0,920,
CAR,CAR1584,"Proyecto forestal de carbono del Ejido San Diego de Tezains, Durango, México",Forestry - MX,MX,[],6/14/2024,0,36246,
CAR,CAR512,Rio Grande Valley Landfill,Landfill Gas Capture/Combustion,US,[],6/28/2024,0,7,
CAR,CAR400,South Jordan Landfill Gas Destruction Project,Landfill Gas Capture/Combustion,US,[],6/10/2024,0,1134,
CAR,CAR443,South Kent Landfill Gas to Energy Project,Landfill Gas Capture/Combustion,US,[],1/18/2024,0,27388,
CAR,CAR1246,Woodcrest Dairy Digester,Livestock - ARB Compliance,US,[],4/17/2024,0,473,
CAR,CAR1641,AgriCapture Grasslands Project 1,Avoided Grassland Conversion,US,[],11/3/2023,0,30,
CAR,CAR790,Bi-County Landfill Gas Destruction Project,Landfill Gas Capture/Combustion,US,[],9/3/2024,0,14629,
CAR,CAR1247,Bluesource - Carroll Avoided Grassland Conversion Project,Avoided Grassland Conversion,US,[],12/13/2023,0,4631,
CAR,CAR1564,Bluesource - Soda Creek Avoided Grassland Conversion Project,Avoided Grassland Conversion,US,[],12/13/2023,0,3834,
CAR,CAR1284,BNW Ranch,Avoided Grassland Conversion,US,[],1/22/2024,0,1804,
